sample	samples	_gender	TCGA_GTEX_main_category	detailed_category	ENSG00000151790.8	ENSG00000131203.12	ENSG00000188676.13	ENSG00000183077.15	ENSG00000125166.12	ENSG00000109576.13	ENSG00000115919.14	ENSG00000117009.11	ENSG00000103485.17	ENSG00000162882.14	ENSG00000153086.13	ENSG00000103257.8	ENSG00000168003.16	ENSG00000180773.14	ENSG00000108773.10	ENSG00000106688.11	ENSG00000115902.10	ENSG00000105281.12	ENSG00000103064.13	ENSG00000092068.18	ENSG00000151012.13	ENSG00000151224.12	ENSG00000168906.12	ENSG00000038274.16	ENSG00000101444.12	ENSG00000168710.17	ENSG00000116984.12	ENSG00000145692.14	ENSG00000116761.11	ENSG00000121691.4	ENSG00000128309.16	ENSG00000129596.4	ENSG00000160200.17	ENSG00000274276.4	ENSG00000162607.12	ENSG00000036672.15	ENSG00000245248.7	ENSG00000111667.13	ENSG00000187555.14	ENSG00000138592.13	ENSG00000103194.15	ENSG00000102226.9	ENSG00000135655.13	ENSG00000124422.11	ENSG00000048028.11	ENSG00000124486.12
TCGA-AB-2882-03	TCGA-AB-2882-03	Female	TCGA Acute Myeloid Leukemia	Acute Myeloid Leukemia	1.417	1.762	-2.727	5.438	5.082	3.589	5.057	1.491	5.083	3.842	-1.355	5.343	6.602	2.623	6.244	-3.171	3.550	5.529	5.481	2.514	-0.6193	-1.026	8.951	6.031	5.641	4.846	4.644	-3.308	1.151	7.053	3.840	-0.7346	1.740	-0.8599	4.305	-1.149	-3.047	5.241	6.930	4.959	6.234	6.540	6.981	7.582	4.637	5.432
TCGA-AB-2854-03	TCGA-AB-2854-03	Female	TCGA Acute Myeloid Leukemia	Acute Myeloid Leukemia	0.6608	-9.966	-4.608	4.823	5.068	-1.781	3.809	2.536	2.921	3.566	-1.781	5.564	6.142	4.644	5.521	-5.574	3.906	5.667	4.392	1.888	-1.884	-9.966	8.505	5.072	4.985	5.242	3.557	-2.466	2.351	7.812	5.014	-0.9971	-0.08770	-3.047	4.384	-0.9971	-3.171	4.550	6.882	4.971	5.719	5.085	7.356	5.328	3.870	4.578
TCGA-AB-2878-03	TCGA-AB-2878-03	Female	TCGA Acute Myeloid Leukemia	Acute Myeloid Leukemia	0.3796	-9.966	-3.816	5.006	4.967	1.512	-1.431	0.3796	2.609	1.092	-3.626	4.363	5.575	4.088	4.976	-5.574	3.873	5.380	2.757	1.351	-0.8084	-9.966	7.300	5.826	5.540	5.238	3.602	-1.938	1.740	8.682	4.382	-0.7108	0.4016	0.6332	5.658	-2.053	-1.117	4.211	6.205	4.848	5.072	4.699	6.660	5.606	3.768	4.885
TCGA-AB-2972-03	TCGA-AB-2972-03	Female	TCGA Acute Myeloid Leukemia	Acute Myeloid Leukemia	0.3115	-9.966	-3.458	5.231	5.428	1.322	3.322	-0.3022	3.892	0.7058	-1.181	4.128	6.009	3.951	5.651	-5.012	2.387	5.079	4.794	0.2029	-0.9971	-9.966	7.943	5.570	6.498	4.773	4.601	-5.574	0.6880	8.655	4.784	-1.831	-0.4521	-2.245	4.685	-1.552	-0.4131	4.859	7.045	4.804	6.141	5.226	7.623	6.431	2.822	5.381
TCGA-AB-2921-03	TCGA-AB-2921-03	Female	TCGA Acute Myeloid Leukemia	Acute Myeloid Leukemia	0.04400	-9.966	-9.966	5.519	5.619	-9.966	4.713	1.683	4.208	4.586	-2.245	4.685	6.196	4.107	7.047	-9.966	3.843	5.424	5.593	-1.392	-2.315	-9.966	9.269	6.042	6.698	5.428	3.894	-6.506	-0.4325	10.38	4.765	-3.171	-0.5756	-3.171	4.435	-3.171	-0.8599	5.373	5.469	4.680	5.944	6.069	6.949	6.762	3.874	4.894
TCGA-AB-2894-03	TCGA-AB-2894-03	Female	TCGA Acute Myeloid Leukemia	Acute Myeloid Leukemia	-0.2845	-9.966	-6.506	4.629	4.697	-3.458	5.428	0.05800	4.484	2.313	-2.245	3.372	6.196	4.899	4.864	-4.035	4.085	4.631	4.738	2.296	-0.4921	-6.506	8.094	5.276	6.288	5.108	4.349	-9.966	-0.5125	8.660	4.372	-9.966	-1.214	-2.178	5.135	3.057	-0.3566	4.419	6.229	4.926	5.866	5.016	5.699	6.294	3.256	4.687
TCGA-AB-2899-03	TCGA-AB-2899-03	Female	TCGA Acute Myeloid Leukemia	Acute Myeloid Leukemia	-0.3022	-9.966	-4.608	4.330	5.166	-2.178	2.071	1.971	3.294	3.466	-1.431	5.113	6.106	4.891	5.647	-3.816	5.060	6.344	5.899	0.2029	-1.318	-4.608	8.640	5.414	5.783	5.260	4.070	-9.966	-0.1993	7.762	5.041	-0.3201	0.9419	-0.5756	5.202	0.9716	-2.245	5.050	6.737	5.627	6.293	6.154	7.005	7.327	4.004	5.405
TCGA-AB-2819-03	TCGA-AB-2819-03	Female	TCGA Acute Myeloid Leukemia	Acute Myeloid Leukemia	-0.5543	-9.966	-9.966	5.858	5.767	4.367	4.360	1.595	4.532	3.271	-2.466	4.198	6.021	3.611	5.159	-4.293	3.675	5.287	3.957	1.085	-2.727	-6.506	7.902	6.091	6.710	5.256	4.030	-1.595	1.647	7.173	4.877	-9.966	-2.178	-3.816	5.348	-0.4131	-2.826	4.653	5.937	4.665	6.509	4.828	6.165	6.114	3.779	4.568
TCGA-AB-2964-03	TCGA-AB-2964-03	Female	TCGA Acute Myeloid Leukemia	Acute Myeloid Leukemia	-0.8339	-3.047	-9.966	5.124	5.213	-4.293	0.9568	-0.1828	2.660	2.447	-0.3201	4.684	5.757	4.341	4.240	-4.035	2.529	4.869	3.981	1.642	-2.826	-9.966	7.702	5.642	6.201	5.275	4.596	-3.458	1.705	9.759	4.793	-1.732	-1.732	-3.816	4.791	-2.245	-2.315	4.618	6.203	4.864	6.274	5.190	6.739	6.750	3.856	5.127
TCGA-AB-2987-03	TCGA-AB-2987-03	Female	TCGA Acute Myeloid Leukemia	Acute Myeloid Leukemia	-0.9686	-1.086	-9.966	3.866	4.365	-3.047	6.122	3.941	1.953	2.384	-2.826	2.740	6.359	4.534	3.820	-2.388	3.091	5.191	4.591	3.483	-3.171	-9.966	6.263	6.266	5.288	5.470	3.597	-3.816	-0.4131	7.074	3.165	0.1257	0.4865	-1.994	4.062	-1.026	-9.966	4.482	6.150	5.111	5.380	4.535	6.940	5.984	4.055	5.153
TCGA-AB-2927-03	TCGA-AB-2927-03	Female	TCGA Acute Myeloid Leukemia	Acute Myeloid Leukemia	-1.056	-2.932	-9.966	4.647	4.847	1.481	3.173	2.313	1.412	4.072	-1.431	4.540	5.884	3.616	6.060	-6.506	4.088	5.438	5.444	0.4125	-0.5125	-3.816	8.290	5.373	5.537	4.918	3.284	-4.608	-0.1665	6.961	3.755	-1.781	0.5470	-9.966	4.227	-0.8863	-0.7108	4.832	6.438	4.684	5.836	6.032	6.799	6.387	4.158	4.989
TCGA-AB-2970-03	TCGA-AB-2970-03	Female	TCGA Acute Myeloid Leukemia	Acute Myeloid Leukemia	-1.117	-2.466	-9.966	4.840	5.044	1.590	5.101	3.701	2.834	3.976	-0.3940	4.828	5.971	3.849	5.061	-9.966	4.699	5.808	5.985	-0.4719	1.619	-9.966	8.276	6.062	5.791	5.347	4.455	-4.035	-1.355	8.436	3.585	-2.388	0.2998	-3.626	5.577	-2.466	-4.035	4.770	6.575	5.237	6.006	5.444	6.884	6.544	3.018	5.273
TCGA-AB-2936-03	TCGA-AB-2936-03	Female	TCGA Acute Myeloid Leukemia	Acute Myeloid Leukemia	-1.214	-1.595	-9.966	4.560	4.780	2.701	1.714	1.125	3.832	3.568	-0.7834	5.257	5.987	4.440	6.392	-3.458	3.929	5.903	6.434	0.5666	0.05800	-9.966	8.726	6.378	4.933	5.391	4.457	-9.966	-0.8084	8.190	4.138	-0.6193	1.804	-5.574	4.789	-1.392	-2.178	4.939	7.274	5.416	6.194	6.547	7.256	7.407	4.352	5.830
TCGA-AB-2973-03	TCGA-AB-2973-03	Female	TCGA Acute Myeloid Leukemia	Acute Myeloid Leukemia	-1.248	-9.966	-9.966	3.659	3.901	-9.966	4.686	1.975	0.6790	2.379	-2.466	1.727	5.860	5.047	4.005	-9.966	3.395	4.222	4.590	-1.026	-3.816	-9.966	6.887	5.648	4.535	4.908	3.247	-9.966	-1.994	7.775	3.194	-5.012	-1.355	-3.816	3.588	-3.816	-2.727	4.033	6.232	5.100	5.697	3.483	7.126	5.490	3.774	5.150
TCGA-AB-2955-03	TCGA-AB-2955-03	Female	TCGA Acute Myeloid Leukemia	Acute Myeloid Leukemia	-1.470	1.098	-1.639	4.467	4.404	-3.171	4.812	0.4552	2.376	-0.3752	-0.01300	4.623	5.556	3.497	4.766	-9.966	3.549	3.918	5.389	-3.171	-1.831	-9.966	8.825	5.757	4.951	4.845	5.004	-2.932	-0.5973	8.440	3.353	-9.966	-0.9132	-3.816	3.743	-9.966	-9.966	4.609	5.756	5.171	6.262	5.268	7.140	6.708	3.789	5.788
TCGA-AB-2860-03	TCGA-AB-2860-03	Female	TCGA Acute Myeloid Leukemia	Acute Myeloid Leukemia	-1.470	-2.826	-5.574	4.540	5.390	2.036	0.3796	2.211	3.949	2.768	-2.114	6.094	7.076	4.392	4.893	-5.574	5.232	6.694	5.170	1.637	1.171	-9.966	8.023	5.372	5.968	5.763	4.662	-4.608	0.2400	8.460	5.002	-3.626	2.278	0.1388	5.884	-0.5332	-0.1031	5.004	6.644	4.732	6.473	4.829	6.655	6.186	4.738	5.477
TCGA-AB-2887-03	TCGA-AB-2887-03	Female	TCGA Acute Myeloid Leukemia	Acute Myeloid Leukemia	-1.510	-1.355	-9.966	5.492	5.453	0.8327	-1.026	0.7748	2.884	3.545	-0.7834	4.395	5.727	4.381	6.746	-2.388	4.444	6.124	5.144	0.1903	-1.510	-3.626	9.034	6.167	6.425	6.083	5.257	-1.431	0.2522	7.806	4.379	-2.245	1.078	-0.2498	5.189	0.1257	-0.05740	5.126	6.661	5.267	6.557	6.777	6.905	7.806	3.910	5.552
